"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.179168577,      -4.967982828,      -5.184846292,      -5.152620167
          0,           0,           1,      -5.009904207,      -4.959614315,      -4.942115251,      -5.426093559
          0,           0,           2,      -4.895780675,        -4.8303587,      -4.966971679,      -5.382379826
          0,           0,           3,      -4.867592404,      -4.787240167,      -4.977495794,      -5.373955392
          0,           0,           4,      -4.846521261,      -4.744431704,      -5.023198227,      -5.388104759
          0,           0,           5,       -4.81643652,      -4.685557172,      -5.034221646,      -5.358910587
          0,           0,           6,      -4.801047543,      -4.643404469,      -5.058349275,      -5.348442778
          0,           0,           7,      -4.798482581,        -4.6146212,       -5.09545788,      -5.337133598
          0,           0,           8,      -4.805791517,      -4.594990215,      -5.121908698,      -5.323151812
          0,           0,           9,      -4.814711892,      -4.582343704,      -5.146958855,      -5.315182995
          0,           0,          10,      -4.825299795,      -4.575698791,      -5.166654399,       -5.31045905
          0,           0,          11,      -4.837625855,      -4.573564304,      -5.170711277,      -5.308111223
          0,           0,          12,       -4.84692401,      -4.573471614,      -5.169233269,        -5.3090186
          0,           0,          13,      -4.851506315,       -4.57394877,      -5.168849478,      -5.312100467
          0,           0,          14,      -4.853710107,      -4.574707764,      -5.167546088,      -5.315850906
          0,           0,          15,       -4.85563447,      -4.575717482,      -5.164619547,       -5.31986748
          0,           0,          16,      -4.858114347,      -4.576968572,       -5.16176499,      -5.324209715
          0,           0,          17,      -4.861764245,      -4.578658269,       -5.16026843,      -5.328775694
          0,           0,          18,      -4.867315064,      -4.581222469,      -5.160630925,      -5.333553968
          0,           0,          19,      -4.875340085,      -4.585225524,      -5.163290566,      -5.338960724
          0,           0,          20,      -4.886123155,      -4.591257048,      -5.168820024,      -5.345818981
          0,           0,          21,       -4.89976861,      -4.599873461,       -5.17774587,      -5.355127869
          0,           0,          22,      -4.916328748,      -4.611563415,      -5.190416842,      -5.367854335
          0,           0,          23,      -4.935829258,      -4.626727121,      -5.207015051,      -5.384849472
          0,           0,          24,      -4.958234088,      -4.645680048,      -5.227672685,      -5.406941852
          0,           0,          25,      -4.983476908,      -4.668712808,      -5.252882566,      -5.435593783
          0,           0,          26,      -5.011112227,      -4.695936772,      -5.286454442,      -5.478218506
          0,           0,          27,        -5.0310247,      -4.721125912,      -5.303836156,      -5.501147308
          0,           0,          28,      -5.056769946,      -4.753752958,      -5.328623145,       -5.53619206
          0,           0,          29,       -5.08104097,      -4.787167794,      -5.364792341,      -5.575267232
          0,           0,          30,      -5.107691575,      -4.825416764,      -5.399215301,      -5.620960185
          0,           0,          31,      -5.135946269,       -4.86729004,      -5.435445366,      -5.672750801
          0,           0,          32,      -5.164275102,      -4.910441474,      -5.476796001,       -5.72329033
          0,           0,          33,      -5.192896541,      -4.953993641,       -5.52103979,       -5.77234546
          0,           0,          34,      -5.222723131,      -4.997262982,      -5.565911097,      -5.819526432
          0,           0,          35,      -5.254466838,      -5.039353605,      -5.611376066,      -5.863023793
          0,           0,          36,      -5.288784025,      -5.079547496,      -5.657413182,       -5.90125034
          0,           0,          37,      -5.326197007,      -5.117576933,      -5.702559051,      -5.933765054
          0,           0,          38,      -5.366864933,      -5.153594573,       -5.74531879,      -5.961309919
          0,           0,          39,      -5.410564645,      -5.188116556,      -5.785029323,      -5.985399819
          0,           0,          40,      -5.456684647,      -5.221934252,      -5.821466638,      -6.007969124
          0,           0,          41,      -5.504121029,      -5.255914799,      -5.854838523,      -6.031048516
          0,           0,          42,      -5.551183454,      -5.290785735,      -5.886385275,       -6.05672113
          0,           0,          43,       -5.59530779,      -5.326754903,      -5.919152292,      -6.088410462
