"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -5.053369155,      -4.823253393,      -5.014465456,      -5.004368468
          0,           0,           1,      -4.802455235,      -4.756158166,      -4.720177235,      -5.209629341
          0,           0,           2,      -4.686257367,      -4.617339568,      -4.796354632,      -5.181488089
          0,           0,           3,       -4.70931988,      -4.628569787,      -4.787320024,      -5.177471356
          0,           0,           4,      -4.679613686,      -4.594365238,      -4.826115002,       -5.19698779
          0,           0,           5,      -4.691167721,      -4.587642067,      -4.886429516,      -5.194050651
          0,           0,           6,      -4.702272941,       -4.58509059,      -4.923341198,      -5.222794051
          0,           0,           7,      -4.719705807,      -4.579429156,      -4.986763954,      -5.233541897
          0,           0,           8,      -4.754758571,      -4.583704182,      -5.037897978,      -5.249033254
          0,           0,           9,      -4.779134642,      -4.583334303,      -5.074353997,      -5.275954016
          0,           0,          10,      -4.797792755,      -4.577964465,      -5.112377248,      -5.292545323
          0,           0,          11,      -4.821693231,      -4.574608142,      -5.138518256,      -5.300022855
          0,           0,          12,      -4.844077064,      -4.573164975,      -5.161767366,      -5.309529394
          0,           0,          13,      -4.859961725,       -4.57318858,      -5.190334248,      -5.323049273
          0,           0,          14,      -4.872261651,      -4.576082566,      -5.216845848,      -5.338619735
          0,           0,          15,      -4.884163302,       -4.58292855,      -5.237128177,      -5.355651543
          0,           0,          16,      -4.896350099,      -4.593943211,       -5.25445383,      -5.374839899
          0,           0,          17,      -4.908931512,      -4.608912787,      -5.271592237,      -5.396367496
          0,           0,          18,      -4.922534466,      -4.627506761,      -5.288915589,      -5.419522168
          0,           0,          19,      -4.937973368,      -4.649416735,      -5.306493308,      -5.443382567
          0,           0,          20,      -4.955801581,      -4.674369183,      -5.324624434,       -5.46732001
          0,           0,          21,      -4.976153103,      -4.701958201,      -5.342802006,      -5.490839525
          0,           0,          22,      -4.998509565,      -4.731230515,      -5.358918403,      -5.512971752
          0,           0,          23,       -5.02117756,      -4.760097473,      -5.369642006,      -5.531784029
          0,           0,          24,      -5.040868461,      -4.784956295,      -5.371792703,      -5.544574076
          0,           0,          25,      -5.053281629,      -4.801337182,      -5.364164169,      -5.549282125
          0,           0,          26,      -5.054998901,      -4.806168041,      -5.346726293,      -5.546253612
          0,           0,          27,      -5.043873279,      -4.796473573,      -5.322579607,      -5.527909578
