"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.388996       , 0.001           
1               , -0.256041       , 0.001           
2               , -0.138914       , 0.001           
3               , -0.0548544      , 0.001           
4               , -0.00634279     , 0.001           
5               , 0.00970471      , 0.001           
6               , 0.000579991     , 0.001           
7               , -0.0229986      , 0.001           
8               , -0.0486863      , 0.001           
9               , -0.0656025      , 0.001           
10              , -0.0679234      , 0.001           
11              , -0.0571889      , 0.001           
12              , -0.0412757      , 0.001           
13              , -0.0294664      , 0.001           
14              , -0.0264089      , 0.001           
15              , -0.0303191      , 0.001           
16              , -0.0374773      , 0.001           
17              , -0.046453       , 0.001           
18              , -0.061529       , 0.001           
19              , -0.230489       , 0.001           
20              , 0.0692044       , 0.001           
21              , 0.163929        , 0.001           
22              , 0.138099        , 0.001           
23              , 0.0515331       , 0.001           
24              , -0.0538836      , 0.001           
25              , -0.14969        , 0.001           
26              , -0.217534       , 0.001           
27              , -0.246859       , 0.001           
28              , -0.23395        , 0.001           
29              , -0.182489       , 0.001           
30              , -0.104946       , 0.001           
31              , -0.0225019      , 0.001           
32              , 0.0402124       , 0.001           
33              , 0.0674224       , 0.001           
34              , 0.0644032       , 0.001           
35              , 0.0527283       , 0.001           
36              , 0.0478093       , 0.001           
37              , 0.0578369       , 0.001           
