"PointID","x","y"
0, 9.997500181200000e-01, -3.633415620969706e-05
1, 9.990000128750000e-01, -1.455814397963378e-04
2, 9.977599978450000e-01, -3.287036875601059e-04
3, 9.960200190539999e-01, -5.963831183534382e-04
4, 9.937800168990000e-01, -9.704004171489262e-04
5, 9.910500049590000e-01, -1.486425411714540e-03
6, 9.878399968150000e-01, -2.191477040961697e-03
7, 9.841300249100000e-01, -3.139185319607341e-03
8, 9.799500107769999e-01, -4.350968171397182e-03
9, 9.752799868580000e-01, -5.822252246813250e-03
10, 9.701499938960000e-01, -7.486343741518421e-03
11, 9.645400047300000e-01, -9.255873135145577e-03
12, 9.584699869160000e-01, -1.102119606446710e-02
13, 9.519400000570000e-01, -1.270143695105107e-02
14, 9.449599981310000e-01, -1.425759806724720e-02
15, 9.375399947170000e-01, -1.569925980006179e-02
16, 9.296900033950000e-01, -1.707043019306704e-02
17, 9.214000105860000e-01, -1.843047708288422e-02
18, 9.126999974250000e-01, -1.982471099875599e-02
19, 9.035800099370001e-01, -2.128682428628680e-02
20, 8.940600156780000e-01, -2.282612196974445e-02
21, 8.841500282290000e-01, -2.443880532301416e-02
22, 8.738499879840000e-01, -2.611495484771035e-02
23, 8.631799817090000e-01, -2.783944031033775e-02
24, 8.521599769590000e-01, -2.959872226537208e-02
25, 8.407700061800000e-01, -3.138825042752847e-02
26, 8.290500044819999e-01, -3.319626464711045e-02
27, 8.170099854470000e-01, -3.501710205518391e-02
28, 8.046399950980000e-01, -3.684827588397241e-02
29, 7.919700145720000e-01, -3.868084091218689e-02
30, 7.790099978450000e-01, -4.050807891106407e-02
31, 7.657799720760000e-01, -4.232102971809255e-02
32, 7.522799968720000e-01, -4.411278633423814e-02
33, 7.385200262070000e-01, -4.587454879649962e-02
34, 7.245299816130000e-01, -4.759492136246136e-02
35, 7.103199958800001e-01, -4.926531469100974e-02
36, 6.958900094030001e-01, -5.087863959020028e-02
37, 6.812700033190000e-01, -5.242508477150890e-02
38, 6.664699912070000e-01, -5.389805797581008e-02
39, 6.514999866490000e-01, -5.529193525006136e-02
40, 6.363800168040000e-01, -5.660134554450477e-02
41, 6.211299896240000e-01, -5.782236200303103e-02
42, 6.057599782940000e-01, -5.895322690932481e-02
