"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -4.890376028,      -4.894809515,      -5.384652901,      -4.293994462,             0.448,      0.0208393888,    -0.06026191749,                 0,                 0,                 0,    -0.04504356222,      0.0221490364,    -0.05979296791,                 0,      -2.891731521
          0,           0,           1,      -5.158236431,       -5.05211241,      -5.032591743,      -4.562002193,             0.448,     0.01497880696,    -0.06266797371,                 0,                 0,                 0,    -0.04435262726,     0.01634233705,    -0.06232629948,                 0,      -4.183776043
          0,           0,           2,      -5.053587785,      -5.000431058,      -5.065912692,      -4.463606492,             0.448,     0.01385798146,    -0.06187168057,                 0,                 0,                 0,    -0.04510204134,     0.01520440723,    -0.06155464651,                 0,      -4.464696446
          0,           0,           3,      -5.018057258,      -5.014120917,      -5.024317253,      -4.429819464,             0.448,     0.01377271097,    -0.06348910506,                 0,                 0,                 0,    -0.04626471866,     0.01515444096,    -0.06317354626,                 0,      -4.609775462
          0,           0,           4,      -4.950504499,      -4.927134372,      -4.979018253,      -4.365679252,             0.448,     0.01315400889,     -0.0667521415,                 0,                 0,                 0,    -0.04729345706,     0.01460706888,    -0.06644930311,                 0,      -5.074661426
          0,           0,           5,      -4.919808519,      -4.876228431,      -4.978870542,      -4.338728928,             0.448,     0.01277317081,    -0.06937144933,                 0,                 0,                 0,    -0.04801398615,     0.01428346133,    -0.06907629555,                 0,      -5.431028081
          0,           0,           6,      -4.917361694,      -4.913794214,      -5.001095814,      -4.340473077,             0.448,     0.01259109662,    -0.07185332964,                 0,                 0,                 0,    -0.04875863468,      0.0141555724,    -0.07156155716,                 0,      -5.706677647
          0,           0,           7,      -4.900751827,      -4.878028317,       -5.00079589,      -4.323942184,             0.448,     0.01242167115,    -0.07452720063,                 0,                 0,                 0,    -0.04952011212,     0.01404451744,    -0.07423848785,                 0,      -5.999772472
          0,           0,           8,      -4.889936139,      -4.853502094,      -5.009676904,      -4.314666622,             0.448,     0.01222563802,    -0.07708507989,                 0,                 0,                 0,    -0.05016451203,      0.0139043308,    -0.07680003484,                 0,      -6.305198942
          0,           0,           9,      -4.904075936,      -4.887580424,      -5.031518067,        -4.3329861,             0.448,     0.01201940322,    -0.07944011431,                 0,                 0,                 0,    -0.05068984039,     0.01374951989,    -0.07915900781,                 0,      -6.609322679
          0,           0,          10,      -4.915687198,      -4.923361347,       -5.06569646,       -4.34745504,             0.448,     0.01183007631,    -0.08169561827,                 0,                 0,                 0,    -0.05115165324,     0.01360944159,    -0.08141810517,                 0,      -6.905755815
          0,           0,          11,      -4.924995462,      -4.939057941,      -5.082803026,      -4.358327925,             0.448,     0.01164418267,    -0.08391619172,                 0,                 0,                 0,     -0.0515762789,     0.01347203374,    -0.08364220543,                 0,      -7.206705193
          0,           0,          12,      -4.930632596,      -4.947152246,      -5.091168834,      -4.364401775,             0.448,     0.01144567135,    -0.08611796281,                 0,                 0,                 0,    -0.05197440426,     0.01332160105,    -0.08584778306,                 0,      -7.524063917
          0,           0,          13,      -4.938354503,       -4.96323981,      -5.101898902,      -4.371366024,             0.448,     0.01123845163,    -0.08829624544,                 0,                 0,                 0,    -0.05234895249,     0.01316194963,    -0.08803006779,                 0,      -7.856620142
          0,           0,          14,       -4.95209121,      -4.994387115,      -5.115810449,      -4.383927885,             0.448,     0.01103084387,    -0.09043086617,                 0,                 0,                 0,    -0.05269465633,     0.01300095778,    -0.09016870948,                 0,      -8.198000732
          0,           0,          15,      -4.965464988,      -5.036686075,      -5.134399574,       -4.39675192,             0.448,     0.01082566736,     -0.0924997311,                 0,                 0,                 0,    -0.05300714116,     0.01284096215,    -0.09224155798,                 0,      -8.544483033
          0,           0,          16,      -4.973288653,      -5.078723442,       -5.15571482,      -4.405508281,             0.448,     0.01062214567,    -0.09448893034,                 0,                 0,                 0,    -0.05328603603,     0.01268088303,    -0.09423472365,                 0,      -8.895465504
          0,           0,          17,      -4.975298243,      -5.109176015,      -5.175112126,      -4.409682277,             0.448,     0.01041966724,    -0.09638973793,                 0,                 0,                 0,    -0.05353171167,     0.01251991869,    -0.09613949594,                 0,      -9.250750119
          0,           0,          18,      -4.973218584,      -5.124845278,      -5.191416656,      -4.409989459,             0.448,     0.01021933168,    -0.09819870719,                 0,                 0,                 0,    -0.05374451952,     0.01235909326,    -0.09795240501,                 0,      -9.609112444
          0,           0,          19,      -4.968625612,      -5.131390823,      -5.207493026,      -4.407333888,             0.448,     0.01002332819,    -0.09992047304,                 0,                 0,                 0,    -0.05392612355,     0.01220069654,    -0.09967803692,                 0,       -9.96879192
          0,           0,          20,      -4.962168091,      -5.136620014,       -5.22591378,      -4.402372319,             0.448,    0.009835598648,     -0.1015555148,                 0,                 0,                 0,    -0.05407656764,     0.01204867992,     -0.1013167849,                 0,      -10.32530082
          0,           0,          21,      -4.953840624,      -5.144844596,      -5.246569499,      -4.395362102,             0.448,    0.009660058147,     -0.1031027134,                 0,                 0,                 0,    -0.05419680738,     0.01190693315,     -0.1028674447,                 0,      -10.67309449
          0,           0,          22,      -4.943736366,      -5.156045433,      -5.267480018,      -4.386486189,             0.448,    0.009499685462,     -0.1045584116,                 0,                 0,                 0,    -0.05428909336,     0.01177835452,      -0.104326295,                 0,      -11.00651301
          0,           0,          23,      -4.932204344,      -5.167834706,      -5.286570992,      -4.375993094,             0.448,    0.009356950116,     -0.1059229146,                 0,                 0,                 0,    -0.05435578884,     0.01166541962,      -0.105693587,                 0,      -11.32023932
